asset_type,name,artist,art_date,structure,latitude,longitude,clue_area
Fountain,Grollo Fountain,unknown,2001,Bluestone and granite fountain,-37.8031427973572,144.969874326021,Melbourne (CBD)
Art,Birrarung Wilam,"Vicki Couzens, Lee Darroch and Treahna Hamm",2006,"Stone, wood, stainless steel, bronze, nickel and audio installation",-37.8185954753426,144.971808963839,Melbourne (CBD)
Art,Constellation,Bruce Armstrong and Geoffrey Bartlett,1996,"Stainless steel, copper and Cyrpus-pine sculpture",-37.8201898206677,144.960789659507,Southbank
Art,Personal Islands,Robert Jacks,1992,Brass and bluestone,-37.812954066493504,144.965264917067,Melbourne (CBD)
Art,Ned and Dan,Alexander Knox,2006,Three-dimensional frieze,-37.8149351757693,144.940308036389,Docklands
Art,Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8201019944052,144.959452353426,Southbank
Art,Hotham Hill Seat,"Bernice McPherson, Di Christensen and Craig Perry",NA,Steel seat,-37.7949351874639,144.940340735749,North Melbourne
Art,Island Wave,Lisa Young,2003,Steel sculpture on concrete footing,-37.809326383142,144.958057203226,Melbourne (CBD)
Art,Walk of Stars,Peter Cortlett and Jamie Cooper,2006,Bronze statue and plaques,-37.8152982442351,144.938823236515,Docklands
Art,Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8201547396011,144.959252201884,Southbank
Monument,Sir John Monash,William Leslie Bowles,1950,Bronze statue on granite plinth,-37.8267733497848,144.97275207638,Southbank
Art,Within Three Worlds,Loretta Quinn,1995,Bronze sculpture,-37.7788688464994,144.961128357193,Other
Monument,Motorcycle,unknown,1923,Granite and marble memorial,-37.8170400389729,144.989581102887,Southbank
Art,Blowhole,Duncan Stemler,2005,Stainless-steel and aluminium sculpture,-37.8220182164578,144.946871022845,Other
Art,Bandstand,George Dodd,1864,Concrete bandstand,-37.8140548689972,144.96733868317,Melbourne (CBD)
Art,Coat of Arms,City of Melbourne,1992,Brass pavement inlay,-37.815081401373,144.966458869013,Melbourne (CBD)
Art,Blowhole,Duncan Stemler,2005,Stainless-steel and aluminium sculpture,-37.8218628257359,144.947009412249,Other
Monument,John Batman Memorial (2),Stanley Hammond,1978,Bronze statue,-37.8176597509552,144.959772957148,Melbourne (CBD)
Art,Lake Waterfall,unknown,1973,Stone waterfall,-37.822086065767,144.971811018826,Southbank
Monument,Sir William John Clarke,Edgar Bertram Mackennal,1902,Marble statue,-37.8136729461963,144.97434487547,Melbourne (CBD)
Art,Water Children,John Edward Robinson,c. 1970,Bronze sculpture,-37.8221241223436,144.970661980986,Southbank
Art,Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8200614090425,144.959718171092,Southbank
Art,Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8200830248455,144.959725218101,Southbank
Art,Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8201002457889,144.959733080966,Southbank
Art,Within Three Worlds,Loretta Quinn,1995,Bronze sculpture,-37.7789311799623,144.961158146237,Other
Monument,Sir Thomas Blamey Memorial,Raymond B. Ewers,1960,Bronze statue with granite pedestal,-37.8263011410214,144.972818912121,Southbank
Art,Aurora,Geoffrey Bartlett,2005,Stainless steel,-37.8186937927645,144.946856332947,Docklands
Art,Australia Today and Tomorrow,Karl Duldig,1970,Bronze sculpture,-37.8118220481066,144.982657048965,Southbank
Art,Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,Bronze-alloy bells on galvanised-steel poles,-37.8186610069437,144.97413082954,Melbourne (CBD)
Art,Feng Shui,Guan Wei,2003,Multi-panel painting,-37.8198227493892,144.951104886543,Melbourne (CBD)
Fountain,Grant's Fountain,unknown,1901,Stone fountain,-37.8074703867589,144.968593306036,Melbourne (CBD)
Art,Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8201003379632,144.959547579868,Southbank
Fountain,Grey Street Fountain,unknown,1863,Cement fountain,-37.8115435409616,144.982950898766,Southbank
Fountain,Boy and Urn,unknown,unknown,Bronze fountain,-37.8121217645873,144.97970321858,Melbourne (CBD)
Art,Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,Bronze-alloy bells on galvanised-steel poles,-37.8187023628084,144.974201916576,Melbourne (CBD)
Fountain,Conservatory Fountain,unknown,c. 1900,Cast-iron and granite drinking fountain,-37.8138743431045,144.978595506099,Melbourne (CBD)
Art,Blowhole,Duncan Stemler,2005,Stainless-steel and aluminium sculpture,-37.8219853561923,144.946774675143,Other
Art,Art Wall,Peter D. Cole,2000,3D Installation,-37.8158205285983,144.946136474106,Docklands
