base_property_id,census_year,name,business_address,industry_code,industry_desc,seating_type,number_of_seats,latitude,longitude,clue_area
104651,2023,Rice Paper Scissors,Ground 13-15 Hardware Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,32,-37.8142906906,144.9614052560852,Melbourne (CBD)
104653,2023,Campari House,21-25 Hardware Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,100,-37.81409145355,144.96131410750897,Melbourne (CBD)
105851,2023,Triim,"Shop 3, 35 Hardware Lane MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,60,-37.813851166194965,144.96120434485,Melbourne (CBD)
108145,2023,Manchester Press,Ground 8 Rankins Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,63,-37.81387425748112,144.9621274884,Melbourne (CBD)
101194,2023,The Salon,Part Level 1 314-336 Bourke Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,54,-37.813447730023114,144.96382711175,Melbourne (CBD)
101199,2023,Red Duck Cafe,"Shop 13, 246 Bourke Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,42,-37.81293129925022,144.96584922975,Melbourne (CBD)
101200,2023,Jom corner,"Shop 5, 236 Bourke Street MELBOURNE VIC 3000",4512,Takeaway Food Services,Seats - Indoor,10,-37.81273569890341,144.96627814229998,Melbourne (CBD)
101202,2023,China Chilli,"Shop 15, Level 1 206 Bourke Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,180,-37.81267380947152,144.96687115185,Melbourne (CBD)
105838,2023,Westlake Restaurant,189-191 Little Bourke Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,200,-37.81219395357081,144.96695486235,Melbourne (CBD)
101211,2023,White Tomato,160-162 Bourke Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,70,-37.81244912739009,144.968470251,Melbourne (CBD)
101217,2023,Welcome Stranger,Ground 124-128 Bourke Street MELBOURNE VIC 3000,4520,"Pubs, Taverns and Bars",Seats - Outdoor,32,-37.81206977061173,144.9692644013,Melbourne (CBD)
101224,2023,Grossi Florentino,Florentino Restaurant 78-84 Bourke Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,210,-37.81173059155277,144.97084640375,Melbourne (CBD)
101237,2023,Recoleta,Level 1 10 Bourke Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,32,-37.81123568691042,144.97255546425,Melbourne (CBD)
102268,2023,Becco,Ground 11-25 Crossley Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,16,-37.81143031179083,144.97101379370002,Melbourne (CBD)
504545,2023,Red Pepper Indian Restaurant,14 Bourke Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,33,-37.81126191189722,144.9724606977,Melbourne (CBD)
105717,2023,Common Place Coffee Brewers,28 Rose Lane MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Indoor,12,-37.81498919255727,144.95424813285,Melbourne (CBD)
105718,2023,Food Factory,23-29 Rose Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,30,-37.81541879235,144.9536079679469,Melbourne (CBD)
105857,2023,Melbourne Hotel CBD,Level 1-10 600 Little Bourke Street MELBOURNE VIC 3000,4400,Accommodation,Seats - Indoor,38,-37.815374951728515,144.95457140169998,Melbourne (CBD)
110099,2023,Schmucks Bagels,"Shop 5, LwrGround 518 Little Bourke Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,18,-37.814645799900006,144.9570651507153,Melbourne (CBD)
110100,2023,The Essoign Club Ltd,Part Level 1 205 William Street MELBOURNE VIC 3000,4530,Clubs (Hospitality),Seats - Indoor,200,-37.81427621995,144.95713733851483,Melbourne (CBD)
108079,2023,Caterina's Cucina e Bar,"Unit 6, Basement 221 Queen Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,90,-37.81355872490104,144.9597518208,Melbourne (CBD)
104668,2023,Funghi e Tartufo,Gnd & Bmt 60 Hardware Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,64,-37.81328957345,144.96121501540094,Melbourne (CBD)
105704,2023,Tori's Melbourne,28 Niagara Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,20,-37.8128794732693,144.96145448655,Melbourne (CBD)
105707,2023,Claypots Barbarossa,"Tenancy 1, 79 Hardware Lane MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,50,-37.81304714185001,144.96068779771414,Melbourne (CBD)
105707,2023,Hawker Boys,"Tenancy 2, 85 Hardware Lane MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,16,-37.81304714185001,144.96068779771414,Melbourne (CBD)
105869,2023,Delicious world,390 Little Bourke Street MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Indoor,18,-37.81359816915,144.96107345554,Melbourne (CBD)
105870,2023,Kirk's Public Bar,382 Little Bourke Street MELBOURNE VIC 3000,4520,"Pubs, Taverns and Bars",Seats - Indoor,48,-37.8135435217,144.96132807458443,Melbourne (CBD)
105870,2023,French Saloon,Level 1 46 Hardware Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,14,-37.8135435217,144.96132807458443,Melbourne (CBD)
108102,2023,Namsan,"Shop 3, 200 Queen Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,32,-37.81345752336201,144.96047245985,Melbourne (CBD)
108102,2023,Queen Street Foodstore,"Shop 1, 200 Queen Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,26,-37.81345752336201,144.96047245985,Melbourne (CBD)
105698,2023,Machi Machi Emporium,Shop LG32 287 Lonsdale Street MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Indoor,11,-37.81247035035,144.96392893701363,Melbourne (CBD)
105698,2023,Din Tai Fung,Shop M02 287 Lonsdale Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,200,-37.81247035035,144.96392893701363,Melbourne (CBD)
