base_property_id,census_year,name,business_address,number_of_patrons,latitude,longitude,clue_area
109710,2011,Barber Bar,"Ground , 315 Victoria Street WEST MELBOURNE 3003",50,-37.80556551099649,144.95104717105,West Melbourne (Residential)
616966,2011,Vodka Locka & Red Leaf Restaurant,2 Boundary Road NORTH MELBOURNE 3051,40,-37.7953162502,144.9392476268893,North Melbourne
102123,2016,Menzies Tavern Hotel,"Unit 1, Basement , 446-452 Collins Street MELBOURNE 3000",197,-37.81730587963641,144.95945271555306,Melbourne (CBD)
104376,2017,Word,14-20 Goldie Place MELBOURNE 3000,200,-37.81328635195,144.96073157987536,Melbourne (CBD)
104085,2018,Disco Bar,"Basement , 167 Franklin Street MELBOURNE 3000",200,-37.80897727672806,144.95915618785,Melbourne (CBD)
101450,2019,Dan O'Connell Hotel,223-227 Canning Street CARLTON 3053,100,-37.793030424449995,144.97338802913018,Carlton
556742,2019,Vibe Hotel,419-443 Royal Parade PARKVILLE 3052,69,-37.78289819395,144.95881538955987,Parkville
102124,2021,The Mug House,Part Ground 440 Collins Street MELBOURNE VIC 3000,80,-37.81703292415311,144.95976167600003,Melbourne (CBD)
105401,2023,Spearmint Rhino Gentlemen's Club,Gnd & Flr1 20 King Street MELBOURNE VIC 3000,660,-37.8197759733,144.9577137804946,Melbourne (CBD)
109257,2023,Young & Jacksons,Young And Jacksons Hotel 1-7 Swanston Street MELBOURNE VIC 3000,470,-37.8173559295,144.96702291591578,Melbourne (CBD)
108064,2023,The Black Rabbit,Basement 85 Queen Street MELBOURNE VIC 3000,230,-37.8164972607,144.96102193282508,Melbourne (CBD)
110666,2023,The Bank On Collins,Mezzanine 394 Collins Street MELBOURNE VIC 3000,300,-37.8166130827,144.96107938833774,Melbourne (CBD)
101154,2023,RACV City Club,501 Bourke Street MELBOURNE VIC 3000,150,-37.81588561749844,144.9595844372,Melbourne (CBD)
105963,2023,The Luwow,212 Little Collins Street MELBOURNE VIC 3000,50,-37.813901255761195,144.96715296055,Melbourne (CBD)
109413,2023,Cabinet Bar,11 Rainbow Alley MELBOURNE VIC 3000,90,-37.81417663385,144.96620165918984,Melbourne (CBD)
106560,2023,Lily Blacks,"Shop 3, 12-18 Meyers Place MELBOURNE VIC 3000",95,-37.81225381732877,144.9724843766,Melbourne (CBD)
104653,2023,Campari House,21-25 Hardware Lane MELBOURNE VIC 3000,326,-37.81409145355,144.96131410750897,Melbourne (CBD)
108986,2023,The European,Ground 161 Spring Street MELBOURNE VIC 3000,703,-37.81095112345,144.97242969410638,Melbourne (CBD)
102200,2023,Fad Gallery,Gnd & Flr1 14 Corrs Lane MELBOURNE VIC 3000,80,-37.8112296141,144.96843180726552,Melbourne (CBD)
110707,2023,Sao Bar & BBQ,"Shop A, 550 Lonsdale Street MELBOURNE VIC 3000",100,-37.81346261063083,144.95600158025002,Melbourne (CBD)
102597,2023,Baroq House,Gnd & Bmt 2 Drewery Place MELBOURNE VIC 3000,303,-37.81130312385,144.9639702580742,Melbourne (CBD)
109314,2023,Miscellania,Level 2 & Roof 401 Swanston Street MELBOURNE VIC 3000,290,-37.8090429901,144.96321775777238,Melbourne (CBD)
108118,2023,BRICK LANE SHED,Stall P1-3 Shed M Queen Victoria Market 50 Peel Street MELBOURNE VIC 3000,85,-37.807832574221266,144.9576272223,Melbourne (CBD)
109493,2023,ReWine,460 Queen Street MELBOURNE VIC 3000,38,-37.80786989635,144.9584857015114,Melbourne (CBD)
106186,2023,Green Man's Arms,414-422 Lygon Street CARLTON VIC 3053,120,-37.79694533648168,144.96781234675,Carlton
106944,2023,Al Dente Sapori,Part 161-163 Nicholson Street CARLTON VIC 3053,12,-37.79638866855,144.97480119085986,Carlton
103276,2023,The Last Jar,Royal Artillery Hotel 614-616 Elizabeth Street MELBOURNE VIC 3000,250,-37.8038839765,144.95890988876312,Carlton
106081,2023,The Curtin,John Curtin Hotel 27-31 Lygon Street CARLTON VIC 3053,283,-37.806199457999995,144.965698550926,Carlton
108848,2023,The Angry Dog,405-407 Spencer Street WEST MELBOURNE VIC 3003,200,-37.81089026235,144.9499485073871,West Melbourne (Residential)
110988,2023,The General Assembly,29 South Wharf Promenade SOUTH WHARF VIC 3006,625,-37.82411173505,144.9506146124694,Southbank
105763,2002,44 Bar,42-44 Lonsdale Street MELBOURNE 3000,260,-37.80914252179053,144.971074722117,Melbourne (CBD)
106239,2006,Hotel Milan,186-190 Lygon Street CARLTON 3053,540,-37.80264148995404,144.96693072583696,Carlton
102058,2010,Recorded Music Salon,Collins Street MELBOURNE 3000,110,-37.81376862299815,144.97346124155,Melbourne (CBD)
108966,2012,Vibe Savoy Hotel Melbourne,626-636 Spencer Street MELBOURNE 3000,40,-37.81777222815,144.95392973346546,Melbourne (CBD)
103172,2023,The Joint Bar,Level 1-2 35 Elizabeth Street MELBOURNE VIC 3000,329,-37.81742176045,144.96433442319747,Melbourne (CBD)
103924,2023,Jack & Bones,Basement 107 Flinders Lane MELBOURNE VIC 3000,230,-37.815606546589706,144.970834384,Melbourne (CBD)
102073,2023,Dessous,Basement 164 Flinders Lane MELBOURNE VIC 3000,161,-37.81545151804356,144.96876152725,Melbourne (CBD)
