description,latitude,longitude,clue_area
Drinking Fountain - Type 1,-37.813703464993914,144.96524821218875,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type,-37.811115148970096,144.96662794395766,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.82099191418598,144.9617423793966,Southbank
Drinking Fountain - Monument Style Type 2 - Hardy Reserve,-37.78559620252012,144.96932282550418,Parkville
Leaf Type - Dog Bowl  - Kings Domain,-37.82424533734149,144.97698410547824,Southbank
Leaf Type - With Bottle Refill Tap - Princes Park,-37.7881098191695,144.95949172029708,Parkville
Drinking fountain - Historic or Heritage Drinking Fountains - Alexandra Park,-37.827087271632976,144.98504460154422,Southbank
Leaf Type - With Bottle Refill Tap - Hub@Docklands,-37.82017775836843,144.9480020326732,Other
Leaf Type - With Bottle Refill Tap - Peppercorn Park,-37.79256416270773,144.922630804458,Kensington
Leaf Type - Dog Bowl  - Riverside Park,-37.79451455017051,144.9159122539464,Other
Stainless Steel Drinking Fountain - Northbank Type,-37.819376190936254,144.96425791163875,Melbourne (CBD)
Leaf Type - Dog Bowl  - Kings Domain South,-37.83352412979702,144.98347223277543,South Yarra
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81906773607154,144.95451978482612,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type,-37.81949228639884,144.94459499380662,Docklands
Drinking Fountain - Type 1,-37.81013008750712,144.99100554178736,Other
Stainless Steel Drinking Fountain - Leaf Type,-37.83822661704696,144.9845757117782,South Yarra
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.80218636204077,144.97111015985016,Melbourne (CBD)
Drinking fountain - Historic or Heritage Drinking Fountains - Birrarung Marr,-37.81890778973109,144.97301938244627,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.811441273333834,144.95511626726946,Melbourne (CBD)
Old Style Steel Drinking Fountain,-37.80831892386757,144.97445245211898,Melbourne (CBD)
Treated Timber Drinking Fountain - Carlton Gardens South,-37.80696316737549,144.97097533310074,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.811816918335545,144.9647358013035,Melbourne (CBD)
Drinking Fountain - Type 1,-37.789426340332234,144.92521601291634,Kensington
Stainless Steel Drinking Fountain - Old Docklands Type,-37.82093618828216,144.94302877180849,Other
Stainless Steel Drinking Fountain - Leaf Type,-37.81370900165242,144.96521920731234,Melbourne (CBD)
Drinking Fountain - Monument Style Type 5,-37.78528312570061,144.96618877508342,Parkville
Stainless Steel Drinking Fountain - Leaf Type - Neill Street Reserve,-37.794860401126186,144.97032531494713,Carlton
Drinking Fountain - Type 1,-37.81522141134258,144.96172628554172,Melbourne (CBD)
Treated Timber Drinking Fountain - Neill & Canning Street Reserve (CARLTON),-37.79332999851195,144.97374160438724,Carlton
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.78533232662653,144.9534737646951,Parkville
Treated Timber Drinking Fountain - Flagstaff Gardens,-37.809792956338455,144.95510199726527,Melbourne (CBD)
Drinking fountain - Historic or Heritage Drinking Fountains - Victoria Green,-37.82012801999004,144.94484546150136,Other
Leaf Type - Dog Bowl  - Clayton Reserve,-37.79690982991827,144.93887017448856,West Melbourne
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.80774274876369,144.96308654177773,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Alexandra Gardens,-37.82072500491043,144.97068041637496,Southbank
Stainless Steel Drinking Fountain - Leaf Type - Royal Park,-37.777124890749405,144.95150670643167,Other
Stainless Steel Drinking Fountain - Leaf Type - Alexandra Gardens,-37.82087796877212,144.97293196853022,Southbank
Leaf Type - Dog Bowl  - Fawkner Park,-37.837913044811074,144.9818740242421,South Yarra
Drinking Fountain - Type 1,-37.82018203006011,144.96060794598628,Southbank
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.814436444048496,144.97774297882825,Melbourne (CBD)
Drinking fountain - unspecified type - Gardiner Reserve,-37.7989933421049,144.94335952463908,North Melbourne
Leaf Type - With Bottle Refill Tap - Queen Victoria Gardens,-37.82249308106257,144.97114401537564,Southbank
Leaf Type - With Bottle Refill Tap - Fitzroy Gardens,-37.81165168802,144.98072416956458,Southbank
Leaf Type - Dog Bowl  - Bayswater Road Park,-37.79365820618429,144.92352614663906,Kensington
Leaf Type - With Bottle Refill Tap - Royal Park,-37.77874396844592,144.9527310464918,Other
Drinking fountain - unspecified type - Princes Park,-37.7836624497961,144.95999863520058,Parkville
Stainless Steel Drinking Fountain - Leaf Type,-37.812430045460935,144.96501543858767,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.80726039782801,144.95788106825034,Melbourne (CBD)
Drinking fountain - Historic or Heritage Drinking Fountains - Princes Park,-37.77990316842913,144.96103894553204,Other
Stainless Steel Drinking Fountain - Leaf Type - Gardiner Reserve,-37.79889823757444,144.94401837483926,North Melbourne
Stainless Steel Drinking Fountain - Leaf Type - Station Street Park,-37.79735923804568,144.97398629700336,Carlton
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.811005097961136,144.95862163735288,Melbourne (CBD)
Leaf Type - Dog Bowl  - Fitzroy Gardens,-37.815691536791896,144.98226715782863,Southbank
Leaf Type - Dog Bowl  - Clayton Reserve,-37.79581789599728,144.93892278396697,West Melbourne
Drinking Fountain - Monument Style Type 2,-37.79825505675542,144.9705660670761,Carlton
Drinking Fountain - Type 1,-37.81099949197208,144.99096539168528,Other
Stainless Steel Drinking Fountain - Leaf Type,-37.81506309138495,144.96899203807533,Melbourne (CBD)
Unknown,-37.822177747738806,144.93826895163244,Other
Stainless Steel Drinking Fountain - Old Docklands Type,-37.82122088208344,144.94418531958326,Other
Drinking Fountain - Type 1,-37.79206873155685,144.9297513827727,Kensington
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.802215372127485,144.96301319081624,Melbourne (CBD)
Drinking fountain - Historic or Heritage Drinking Fountains - Shrine Gardens,-37.832243003760865,144.97302849826244,Other
Stainless Steel Drinking Fountain - Leaf Type - Queen Victoria Gardens,-37.8212095645359,144.9694728091101,Southbank
Leaf Type - With Bottle Refill Tap - Docklands Park,-37.81961616571647,144.94608043349226,Docklands
Stainless Steel Drinking Fountain - Leaf Type,-37.824688315009205,144.94695310036423,Other
