name,artist,art_date,address,category,latitude,longitude
Reed Vessel,Virginia King,2002,"67 Harbour Esplanade, DOCKLANDS",Art,-37.8202323424168,144.946325127609
Burke and Wills Monument,Charles Summers,1865,"84 Swanston Street, MELBOURNE",Monument,-37.8156337321238,144.966703993713
Peter Pan,Paul Montford,1925,"Melbourne Zoological Gardens, Elliott Avenue, PARKVILLE",Art,-37.784773009033,144.95236482558
Grollo Fountain,unknown,2001,"169 Rathdowne Street, CARLTON",Fountain,-37.8031427973572,144.969874326021
Birrarung Wilam,"Vicki Couzens, Lee Darroch and Treahna Hamm",2006,"Birrarung Marr, MELBOURNE",Art,-37.8185954753426,144.971808963839
Constellation,Bruce Armstrong and Geoffrey Bartlett,1996,"399 Flinders Street, MELBOURNE",Art,-37.8201898206677,144.960789659507
Personal Islands,Robert Jacks,1992,"201 Swanston Street, MELBOURNE",Art,-37.812954066493504,144.965264917067
Ned and Dan,Alexander Knox,2006,"20 Doepel Way, DOCKLANDS",Art,-37.8149351757693,144.940308036389
Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,"Enterprize Park, MELBOURNE",Art,-37.8201019944052,144.959452353426
Hotham Hill Seat,"Bernice McPherson, Di Christensen and Craig Perry",NA,76 Canning Street,Art,-37.7949351874639,144.940340735749
Island Wave,Lisa Young,2003,"404 Queen Street, MELBOURNE",Art,-37.809326383142,144.958057203226
Walk of Stars,Peter Cortlett and Jamie Cooper,2006,"435 Docklands Drive, DOCKLANDS",Art,-37.8152982442351,144.938823236515
Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,"Enterprize Park, MELBOURNE",Art,-37.8201547396011,144.959252201884
Sir John Monash,William Leslie Bowles,1950,"270 St Kilda Road, SOUTHBANK",Monument,-37.8267733497848,144.97275207638
Within Three Worlds,Loretta Quinn,1995,"684 Park Street, CARLTON NORTH",Art,-37.7788688464994,144.961128357193
Motorcycle,unknown,1923,"10 Wellington Parade, EAST MELBOURNE",Monument,-37.8170400389729,144.989581102887
Blowhole,Duncan Stemler,2005,"13 Harbour Esplanade, DOCKLANDS",Art,-37.8220182164578,144.946871022845
Bandstand,George Dodd,1864,"200 Little Collins Street, MELBOURNE",Art,-37.8140548689972,144.96733868317
Coat of Arms,City of Melbourne,1992,"102 Swanston Street, MELBOURNE",Art,-37.815081401373,144.966458869013
Blowhole,Duncan Stemler,2005,"15 Harbour Esplanade, DOCKLANDS",Art,-37.8218628257359,144.947009412249
John Batman Memorial (2),Stanley Hammond,1978,"443 Collins Street, MELBOURNE",Monument,-37.8176597509552,144.959772957148
Lake Waterfall,unknown,1973,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Art,-37.822086065767,144.971811018826
Sir William John Clarke,Edgar Bertram Mackennal,1902,"18 Spring Street, EAST MELBOURNE",Monument,-37.8136729461963,144.97434487547
Water Children,John Edward Robinson,c. 1970,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Art,-37.8221241223436,144.970661980986
Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,"Enterprize Park, MELBOURNE",Art,-37.8200614090425,144.959718171092
