trading_name,business_address,num_patrons,longitude,latitude,clue_area,capacity_category,census_year
Bobbie Peels,Sir Robert Peel Hotel 351-359 Queensberry Street NORTH MELBOURNE VIC 3051,240,144.9559534402919,-37.8039544673,North Melbourne,Large (150+),2023
Route 66 Bar & Grill,150-152 Wellington Parade EAST MELBOURNE VIC 3002,77,144.98483488015614,-37.81608712015,East Melbourne,Medium (50-149),2023
Delaware North,Part MCG 120 Brunton Avenue EAST MELBOURNE VIC 3002,2800,144.9831879869999,-37.8200069278,East Melbourne,Large (150+),2023
Soho Restaurant & Bar,Part Ground 4 Riverside Quay SOUTHBANK VIC 3006,200,144.96337409882022,-37.82092446995,Southbank,Large (150+),2023
Jackpot Bar,"Shop 72, Ground 8 Whiteman Street SOUTHBANK VIC 3006",80,144.95833415319856,-37.8231615915,Southbank,Medium (50-149),2023
Atrium Bar,"Shop 70, Ground 8 Whiteman Street SOUTHBANK VIC 3006",100,144.95833415319856,-37.8231615915,Southbank,Medium (50-149),2023
Velvet Bar,Part Casino 8 Whiteman Street SOUTHBANK VIC 3006,200,144.95833415319856,-37.8231615915,Southbank,Large (150+),2023
Pan Pacific Melbourne,Pan Pacific Melbourne 2 Convention Centre Place SOUTH WHARF VIC 3006,60,144.95231929429832,-37.8254299844,Southbank,Medium (50-149),2023
Plus 5,37 South Wharf Promenade SOUTH WHARF VIC 3006,90,144.9506146124694,-37.82411173505,Southbank,Medium (50-149),2023
Munich Brau Haus,45 South Wharf Promenade SOUTH WHARF VIC 3006,1100,144.9506146124694,-37.82411173505,Southbank,Large (150+),2023
Urban Alley Brewery,Shop G09 12 Star Circus DOCKLANDS VIC 3008,700,144.93799833512347,-37.8132875139,Docklands,Large (150+),2023
The Flying Angel Club,717 Flinders Street DOCKLANDS VIC 3008,200,144.9513316597974,-37.82247270025,Docklands,Large (150+),2023
Twang Brewing,21 Melrose Street NORTH MELBOURNE VIC 3051,60,144.9414035519,-37.79501732002552,North Melbourne,Medium (50-149),2023
The Batman's Hill Hotel,66-70 Spencer Street MELBOURNE 3000,1500,144.95475962673038,-37.81942775489416,Melbourne (CBD),Large (150+),2007
The Oxford Scholar Hotel,427-433 Swanston Street MELBOURNE 3000,486,144.96297514475876,-37.8084449187,Melbourne (CBD),Large (150+),2014
Pho Melbourne,170 William Street MELBOURNE VIC 3000,50,144.9582198443308,-37.8149175538,Melbourne (CBD),Medium (50-149),2021
The Whisky Boutique / Ms Collins,Part Gnd & Mezzanine 425 Collins Street MELBOURNE VIC 3000,850,144.9606526789389,-37.8175282385,Melbourne (CBD),Large (150+),2023
Imperial Hotel,The Imperial Hotel 2-8 Bourke Street MELBOURNE VIC 3000,894,144.9726756216,-37.81120076789737,Melbourne (CBD),Large (150+),2023
Townhall Hotel North Melbourne,33 Errol Street NORTH MELBOURNE VIC 3051,40,144.94879450626792,-37.80412703475,North Melbourne,Small (< 50),2023
Queen Victoria Hostel,Victoria Hotel 312-316 Victoria Street NORTH MELBOURNE VIC 3051,100,144.9557050830865,-37.8056323416,North Melbourne,Medium (50-149),2023
Royce Hotel,Royce Hotel 375-385 St Kilda Road MELBOURNE VIC 3004,120,144.97554127223438,-37.8350825817,Melbourne (Remainder),Medium (50-149),2023
Ormond Collective,17 Moubray Street MELBOURNE VIC 3004,500,144.98151911479584,-37.847469445,Melbourne (Remainder),Large (150+),2023
Hightail,"Tenancy 40, LwrGround 18 Batmans Hill Drive DOCKLANDS VIC 3008",950,144.94982202293397,-37.8213126871,Docklands,Large (150+),2023
Atet,"Part Shed 2, North Wharf Road DOCKLANDS VIC 3008",550,144.9367318542416,-37.819774265899994,Docklands,Large (150+),2023
Canary Club,6 Russell Street MELBOURNE 3000,150,144.96902133155356,-37.81349217105,Melbourne (CBD),Large (150+),2010
Watermark Bar,"Shop 9, 800 Bourke Street DOCKLANDS 3008",300,144.9450799835413,-37.8188510501,Docklands,Large (150+),2011
Ice Lounge & Ski Lounge,"Ground , 296-298 Russell Street MELBOURNE 3000",152,144.96692730524177,-37.809572120750005,Melbourne (CBD),Large (150+),2012
Rue Bebelons,267 Swanston Street MELBOURNE 3000,74,144.964048236249,-37.81076372395,Melbourne (CBD),Medium (50-149),2013
Pop,68 Hardware Lane MELBOURNE 3000,280,144.9611061979,-37.8130703004677,Melbourne (CBD),Large (150+),2015
Lost and Found,524 Macaulay Road KENSINGTON 3031,40,144.9286331931,-37.79404184602849,Kensington,Small (< 50),2015
Burger Theory / The Hills Rooftop / The Tuxedo Cat,293-299 La Trobe Street MELBOURNE 3000,200,144.9605087922079,-37.810814483849995,Melbourne (CBD),Large (150+),2017
University Hotel,"Part Ground , 272 Lygon Street CARLTON 3053",111,144.96724408945,-37.80052682305912,Carlton,Medium (50-149),2017
