sensor_name,sensing_date,year,month,day_of_week,hour,total,is_weekend,latitude,longitude
BirArt1109_T,2025-09-07,2025,9,Sunday,7,87,TRUE,-37.81851276,144.97131336
SprFli_T,2025-06-10,2025,6,Tuesday,4,2,FALSE,-37.81515276,144.97467661
HarEsP_T,2025-05-07,2025,5,Wednesday,14,132,FALSE,-37.81441438,144.94433026
HarEsB_T,2025-06-25,2025,6,Wednesday,6,6,FALSE,-37.81471642,144.9446508
RMIT_T,2025-05-10,2025,5,Saturday,6,39,TRUE,-37.80825648,144.96304859
AG_T,2025-06-26,2025,6,Thursday,11,375,FALSE,-37.8199817,144.96872865
VAC_T,2025-04-17,2025,4,Thursday,23,595,FALSE,-37.82129925,144.96879309
SanBri_T,2025-08-08,2025,8,Friday,1,3,FALSE,-37.82011242,144.96291897
Eli250_T,2025-08-20,2025,8,Wednesday,11,1262,FALSE,-37.81258467,144.9625775
King2_T,2025-07-16,2025,7,Wednesday,20,133,FALSE,-37.82009057,144.95758725
Spen229_T,2025-06-12,2025,6,Thursday,23,176,FALSE,-37.81531435,144.95227769
Lat526_T,2025-09-07,2025,9,Sunday,17,159,TRUE,-37.81304149,144.95155955
Eli368_T,2025-06-14,2025,6,Saturday,15,1965,TRUE,-37.81009465,144.96143149
Swa31,2025-05-25,2025,5,Sunday,6,56,TRUE,-37.81668634,144.96689733
HarEsB_T,2025-04-21,2025,4,Monday,0,13,FALSE,-37.81471642,144.9446508
Swa607_T,2025-07-27,2025,7,Sunday,3,24,TRUE,-37.804024,144.96308399
Fli114C_T,2025-08-26,2025,8,Tuesday,5,1,FALSE,-37.81632783,144.97090512
261Will_T,2025-08-29,2025,8,Friday,23,142,FALSE,-37.81295822,144.95678789
Eli489_T,2025-05-08,2025,5,Thursday,4,14,FALSE,-37.80740397,144.95987909
MCEC_T,2025-06-07,2025,6,Saturday,21,344,TRUE,-37.82401776,144.95604426
Lat526_T,2025-06-24,2025,6,Tuesday,2,4,FALSE,-37.813005,144.95160411
Col15_T,2025-04-27,2025,4,Sunday,8,104,TRUE,-37.81362543,144.97323591
Col15_T,2025-10-16,2025,10,Thursday,15,708,FALSE,-37.81362543,144.97323591
Bou231_T,2025-07-02,2025,7,Wednesday,13,323,FALSE,-37.81333081,144.96675571
BouHbr_T,2025-06-11,2025,6,Wednesday,10,109,FALSE,-37.81876474,144.94710545
Bou688_T,2025-08-31,2025,8,Sunday,20,364,TRUE,-37.81686075,144.95358075
Col254_T,2025-08-15,2025,8,Friday,18,587,FALSE,-37.81564191,144.965499
PriNW_T,2025-04-28,2025,4,Monday,17,1806,FALSE,-37.81874249,144.96787656
LtB170_T,2025-04-27,2025,4,Sunday,19,764,TRUE,-37.81172914,144.9682466
Swa295_T,2025-09-08,2025,9,Monday,20,1551,FALSE,-37.81101524,144.96429485
AG_T,2025-08-07,2025,8,Thursday,17,643,FALSE,-37.8199817,144.96872865
280Will_T,2025-09-02,2025,9,Tuesday,17,373,FALSE,-37.81246271,144.95690188
Pow61_T,2025-04-21,2025,4,Monday,0,16,FALSE,-37.82392385,144.96299677
Pow61_T,2025-05-08,2025,5,Thursday,0,2,FALSE,-37.82392385,144.96299677
Spen161_T,2025-09-21,2025,9,Sunday,23,41,TRUE,-37.8172861,144.95319102
Col15_T,2025-07-06,2025,7,Sunday,15,321,TRUE,-37.81362543,144.97323591
Col12_T,2025-05-13,2025,5,Tuesday,16,675,FALSE,-37.81344862,144.97305353
FLDegS_T,2025-07-14,2025,7,Monday,7,283,FALSE,-37.81688755,144.96562569
Lon364_T,2025-05-01,2025,5,Thursday,1,19,FALSE,-37.81234775,144.96153311
KenMac_T,2025-10-02,2025,10,Thursday,12,126,FALSE,-37.79453803,144.93036194
PriNW_T,2025-09-11,2025,9,Thursday,16,1758,FALSE,-37.81874249,144.96787656
Que85_T,2025-09-26,2025,9,Friday,20,271,FALSE,-37.81652527,144.96121062
Spencer_T,2025-09-10,2025,9,Wednesday,6,162,FALSE,-37.821728,144.95557015
King2_T,2025-05-30,2025,5,Friday,16,252,FALSE,-37.82009057,144.95758725
Eli368_T,2025-05-11,2025,5,Sunday,15,1855,TRUE,-37.81009465,144.96143149
Eli368_T,2025-07-19,2025,7,Saturday,14,1969,TRUE,-37.81009465,144.96143149
Col15_T,2025-05-30,2025,5,Friday,13,896,FALSE,-37.81362543,144.97323591
Bou231_T,2025-05-07,2025,5,Wednesday,15,713,FALSE,-37.81333081,144.96675571
KenMac_T,2025-08-12,2025,8,Tuesday,1,1,FALSE,-37.79453803,144.93036194
Bou283_T,2025-08-18,2025,8,Monday,1,27,FALSE,-37.81380668,144.96516718
Col700_T,2025-08-03,2025,8,Sunday,0,21,TRUE,-37.81982992,144.95102555
Vic_T,2025-06-08,2025,6,Sunday,1,29,TRUE,-37.80606888,144.95644692
BirArt1109_T,2025-10-08,2025,10,Wednesday,15,182,FALSE,-37.81851276,144.97131336
Fli114F_T,2025-07-13,2025,7,Sunday,12,572,TRUE,-37.81629332,144.97090877
QVN_T,2025-10-05,2025,10,Sunday,18,1852,TRUE,-37.81057846,144.96444294
474Fl_T,2025-10-10,2025,10,Friday,10,230,FALSE,-37.81997273,144.95834911
Signal1647_T,2025-10-01,2025,10,Wednesday,6,41,FALSE,-37.81959923,144.9632832
261Will_T,2025-10-10,2025,10,Friday,9,987,FALSE,-37.81295822,144.95678789
Lat526_T,2025-05-18,2025,5,Sunday,21,28,TRUE,-37.81304149,144.95155955
Col15_T,2025-10-14,2025,10,Tuesday,12,1676,FALSE,-37.81362543,144.97323591
FLDegN_T,2025-07-13,2025,7,Sunday,19,115,TRUE,-37.8168479,144.96559789
Lat224_T,2025-05-08,2025,5,Thursday,10,263,FALSE,-37.80996494,144.96216521
Bou292_T,2025-10-13,2025,10,Monday,23,66,FALSE,-37.81349441,144.96515323
NewQ_T,2025-06-06,2025,6,Friday,10,144,FALSE,-37.81457988,144.94292398
ACMI_T,2025-10-07,2025,10,Tuesday,14,556,FALSE,-37.81726338,144.96872809
Bou283_T,2025-06-07,2025,6,Saturday,23,147,TRUE,-37.81380668,144.96516718
Eli263_T,2025-04-30,2025,4,Wednesday,7,158,FALSE,-37.81252157,144.9619401
Eli263_T,2025-10-10,2025,10,Friday,22,537,FALSE,-37.81252157,144.9619401
