trading_name,business_address,industry_desc,seating_type,num_seats,longitude,latitude,clue_area,seating_category,has_outdoor,census_year
Temple Arden,135 Arden Street NORTH MELBOURNE VIC 3051,Cafes and Restaurants,Seats - Indoor,40,144.9454522716,-37.800891457944125,North Melbourne,Medium (30-99 seats),FALSE,2023
Hallah,268 Victoria Street NORTH MELBOURNE VIC 3051,Cafes and Restaurants,Seats - Indoor,60,144.9573904540356,-37.80580417775,North Melbourne,Medium (30-99 seats),FALSE,2023
CAFE ON O'CONNELL PTY LTD,"Unit 30, Ground 1 O'Connell Street NORTH MELBOURNE VIC 3051",Takeaway Food Services,Seats - Indoor,10,144.95797316912777,-37.80572259435,North Melbourne,Small (< 30 seats),FALSE,2023
The Courthouse Hotel North Melbourne,Court House Hotel 86-90 Errol Street NORTH MELBOURNE VIC 3051,"Pubs, Taverns and Bars",Seats - Indoor,100,144.94995536554424,-37.802877740149995,North Melbourne,Large (100+ seats),FALSE,2023
Sinjeon,31 Blackwood Street NORTH MELBOURNE VIC 3051,Cafes and Restaurants,Seats - Indoor,20,144.95517743550033,-37.80067719885,North Melbourne,Small (< 30 seats),FALSE,2023
Amiconi,Ground 359 Victoria Street WEST MELBOURNE VIC 3003,Cafes and Restaurants,Seats - Indoor,60,144.9495847194,-37.80538401201736,West Melbourne (Residential),Medium (30-99 seats),FALSE,2023
Pretty Sichuan Taste,89 Peel Street WEST MELBOURNE VIC 3003,Cafes and Restaurants,Seats - Indoor,20,144.95560359197538,-37.8060667262,West Melbourne (Residential),Small (< 30 seats),FALSE,2023
My Bao Handmade Pastry,142 Dudley Street WEST MELBOURNE VIC 3003,Cafes and Restaurants,Seats - Indoor,26,144.95061335542448,-37.80952154485,West Melbourne (Residential),Small (< 30 seats),FALSE,2023
Co-Ground,Part Ground 100-154 Batman Street WEST MELBOURNE VIC 3003,Takeaway Food Services,Seats - Indoor,8,144.9489219699911,-37.811010033550005,West Melbourne (Residential),Small (< 30 seats),FALSE,2023
Spencer Heritage,Part Ground 355 Spencer Street WEST MELBOURNE VIC 3003,Takeaway Food Services,Seats - Indoor,8,144.95043199965502,-37.81190985965,West Melbourne (Residential),Small (< 30 seats),FALSE,2023
The Cupcake Queens,Part Ground 417 St Kilda Road MELBOURNE VIC 3004,Takeaway Food Services,Seats - Outdoor,20,144.97704367873666,-37.83774643605,Melbourne (Remainder),Small (< 30 seats),TRUE,2023
Cafe La Colline,13-15 Commercial Road MELBOURNE VIC 3004,Cafes and Restaurants,Seats - Indoor,16,144.97987056985818,-37.8455571059,Melbourne (Remainder),Small (< 30 seats),FALSE,2023
Alf's Cafe,Part Ground 541 St Kilda Road MELBOURNE VIC 3004,Cafes and Restaurants,Seats - Indoor,40,144.98005824866857,-37.84607441525,Melbourne (Remainder),Medium (30-99 seats),FALSE,2023
Red Rooster Westgate,Part 46 Cook Street PORT MELBOURNE VIC 3207,Cafes and Restaurants,Seats - Indoor,40,144.9171006037971,-37.82989992265,Port Melbourne,Medium (30-99 seats),FALSE,2023
Hungry Jack's Pty Ltd,Part 46 Cook Street PORT MELBOURNE VIC 3207,Cafes and Restaurants,Seats - Indoor,70,144.9171006037971,-37.82989992265,Port Melbourne,Medium (30-99 seats),FALSE,2023
Merrywell Bar and Dining / Merrywell Burger Bar,"Shop 86, Ground 8 Whiteman Street SOUTHBANK VIC 3006",Cafes and Restaurants,Seats - Indoor,80,144.95833415319856,-37.8231615915,Southbank,Medium (30-99 seats),FALSE,2023
Ilza,"Shop 103, 673 La Trobe Street DOCKLANDS VIC 3008",Cafes and Restaurants,Seats - Indoor,28,144.94749263943112,-37.8148999005,Docklands,Small (< 30 seats),FALSE,2023
Fishbowl,"Shop 6, 699 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,Seats - Indoor,32,144.95146863960002,-37.8202011825,Docklands,Medium (30-99 seats),FALSE,2023
Almina @ Docklands,106 Newquay Promenade DOCKLANDS VIC 3008,Cafes and Restaurants,Seats - Indoor,150,144.93958155224684,-37.8152440632,Docklands,Large (100+ seats),FALSE,2023
Daybreak Cafe,"Shop 12, Ground 90 Waterfront Way DOCKLANDS VIC 3008",Cafes and Restaurants,Seats - Outdoor,8,144.93944446094207,-37.81215074975,Docklands,Small (< 30 seats),TRUE,2023
Miss Pings Thai Eatery,Ground 37 Star Crescent DOCKLANDS VIC 3008,Cafes and Restaurants,Seats - Indoor,32,144.93799833512347,-37.8132875139,Docklands,Medium (30-99 seats),FALSE,2023
On The Third Day,288-294 Macaulay Road NORTH MELBOURNE VIC 3051,Non-Residential Property Operators,Seats - Indoor,300,144.93668655025,-37.79485884437396,North Melbourne,Large (100+ seats),FALSE,2023
Humble Cafe,Part Level 6 370 Docklands Drive DOCKLANDS VIC 3008,Cafes and Restaurants,Seats - Indoor,24,144.94187093496612,-37.81286378265,Docklands,Small (< 30 seats),FALSE,2022
Platform 270,Part Ground 270 Flinders Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,60,144.965348357,-37.81769206439358,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
The Adelphi Hotel,Gnd-Lvl 7 187 Flinders Lane MELBOURNE VIC 3000,Accommodation,Seats - Indoor,50,144.9683751885,-37.81635841773196,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Vacation Cafe,"Shop 2, 76 Flinders Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,19,144.972040983,-37.815842702936806,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Little Sparrow,Ground Foyer 567 Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,20,144.95572468102446,-37.8190200855,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Bluestone Wine Lounge,Part Ground 495 Collins Street MELBOURNE VIC 3000,"Pubs, Taverns and Bars",Seats - Indoor,10,144.95811744965,-37.81853994654838,Melbourne (CBD),Small (< 30 seats),FALSE,2023
